Row,C0,C1,C2,C3,C4,C5
383,6,54,45,1152,155,6
384,6,55,47,48,155,19
385,6,56,49,8,155,51
386,6,57,53,16,155,34
387,6,58,56,8,155,48
388,6,59,60,16,155,38
389,6,60,66,8,155,49
390,6,61,67,8,155,42
391,6,62,104,16,155,34
392,6,63,120,48,155,20
393,6,64,47,48,155,20
394,6,65,49,32,155,23
395,6,66,53,48,155,19
396,6,67,48,32,155,29
397,6,68,49,4,155,65
398,6,69,53,8,155,48
399,6,70,55,16,155,39
400,6,71,56,2,155,99
401,6,72,58,4,155,71
402,6,73,59,4,155,59
403,6,74,60,4,155,71
404,6,75,62,4,155,65
405,6,76,65,2,155,99
406,6,77,66,1,155,2
407,6,78,67,1,155,3
408,6,79,70,4,155,59
409,6,80,71,4,155,65
410,6,81,72,2,155,87
411,6,82,75,8,155,48
412,6,83,85,4,155,65
413,6,84,88,2,155,99
414,6,85,90,4,155,71
415,6,86,104,2,155,99
416,6,87,120,8,155,38
417,6,88,125,4,155,65
418,6,89,130,8,155,48
419,6,90,137,4,155,71
420,6,91,145,8,155,42
421,6,92,50,16,155,41
422,6,93,51,8,155,48
423,6,94,53,4,155,65
424,6,95,56,4,155,65
425,6,96,57,1,155,2
426,6,97,58,1,155,4
427,6,98,60,2,155,87
428,6,99,65,4,155,59
429,6,100,67,1,155,4
430,6,101,70,4,155,65
431,6,102,71,4,155,65
432,6,103,72,1,155,5
433,6,104,75,4,155,71
434,6,105,76,4,155,65
435,6,106,85,16,155,39
436,6,107,87,4,155,59
437,6,108,88,4,155,71
438,6,109,94,4,155,65
439,6,110,95,2,155,99
440,6,111,99,2,155,99
441,6,112,100,4,155,65
442,6,113,104,1,155,4
443,6,114,115,8,155,42
444,6,115,118,4,155,71
445,6,116,125,4,155,71
446,6,117,127,4,155,71
447,6,118,130,4,155,71
448,6,119,139,4,155,71
449,6,120,140,4,155,71
450,6,121,145,4,155,65
451,6,122,159,16,155,39
452,6,123,54,32,155,29
453,6,124,58,4,155,71
454,6,125,67,4,155,65
455,6,126,69,4,155,59
456,6,127,70,4,155,59
457,6,128,71,4,155,65
458,6,129,72,2,155,87
459,6,130,75,8,155,48
460,6,131,88,2,155,99
461,6,132,104,2,155,99
462,6,133,125,8,155,38
463,6,134,130,8,155,48
464,6,135,138,4,155,71
465,6,136,145,16,155,39
466,6,137,70,2,155,99
467,6,138,72,4,155,71
468,6,139,73,4,155,71
469,6,140,88,8,155,48
470,6,141,131,6,155,50
471,6,142,137,48,155,22
472,6,143,138,8,155,42
473,6,144,144,48,155,22
474,6,145,155,48,155,22
475,6,146,71,16,155,41
476,6,147,72,4,155,65
477,6,148,75,4,155,65
478,6,149,76,8,155,36
479,6,150,100,8,155,45
480,6,151,73,32,155,29
481,6,152,75,16,155,28
482,6,153,103,16,155,23
483,6,154,134,64,155,18
484,6,155,48,128,155,20
485,6,156,49,32,155,34
486,6,157,51,8,155,48
487,6,158,56,32,155,30
488,6,159,57,8,155,45
489,6,160,59,32,155,34
490,6,161,65,32,155,34
491,6,162,66,4,155,65
492,6,163,87,12,155,34
493,6,164,50,128,155,20
494,6,165,51,8,155,51
495,6,166,56,16,155,50
496,6,167,57,2,155,99
497,6,168,59,32,155,30
498,6,169,64,32,155,34
499,6,170,65,16,155,50
500,6,171,66,2,155,99
501,6,172,70,32,155,34
502,6,173,71,32,155,34
503,6,174,85,128,155,19
504,6,175,87,8,155,48
505,6,176,94,8,155,48
506,6,177,95,8,155,48
507,6,178,99,8,155,48
508,6,179,100,8,155,51
509,6,180,159,128,155,19
510,6,181,52,32,155,33
511,6,182,53,16,155,34
512,6,183,56,2,155,99
513,6,184,57,4,155,65
514,6,185,58,2,155,87
515,6,186,61,4,155,59
516,6,187,66,2,155,99
517,6,188,67,2,155,99
518,6,189,70,8,155,45
519,6,190,71,8,155,48
520,6,191,72,1,155,4
521,6,192,75,16,155,38
522,6,193,76,16,155,34
523,6,194,87,2,155,99
524,6,195,88,4,155,71
525,6,196,95,2,155,99
526,6,197,100,16,155,28
527,6,198,115,16,155,39
528,6,199,118,4,155,71
529,6,200,120,4,155,71
530,6,201,125,4,155,71
531,6,202,130,16,155,29
532,6,203,145,16,155,28
533,6,204,63,32,155,34
534,6,205,65,32,155,30
535,6,206,66,4,155,65
536,6,207,77,64,155,26
537,6,208,80,128,155,20
538,6,209,81,4,155,65
539,6,210,87,4,155,65
540,6,211,99,4,155,65
541,6,212,67,8,155,48
542,6,213,68,32,155,29
543,6,214,81,4,155,65
544,6,215,83,4,155,59
545,6,216,87,2,155,87
546,6,217,94,4,155,71
547,6,218,95,2,155,87
548,6,219,98,4,155,71
549,6,220,104,16,155,29
550,6,221,105,16,155,38
551,6,222,119,16,155,39
552,6,223,134,8,155,39
553,6,224,88,16,155,38
554,6,225,94,16,155,29
555,6,226,109,48,155,22
556,6,227,114,96,155,17
557,6,228,49,128,155,19
558,6,229,51,32,155,23
559,6,230,55,64,155,24
560,6,231,56,32,155,30
561,6,232,57,8,155,38
562,6,233,59,32,155,34
563,6,234,66,4,155,65
564,6,235,70,64,155,24
565,6,236,71,128,155,15
566,6,237,85,64,155,26
567,6,238,87,8,155,48
568,6,239,95,8,155,48
569,6,240,100,16,155,38
570,6,241,50,128,155,15
571,6,242,51,4,155,71
572,6,243,55,16,155,50
573,6,244,56,16,155,50
574,6,245,57,2,155,99
575,6,246,59,16,155,50
576,6,247,62,32,155,30
577,6,248,64,16,155,50
578,6,249,65,16,155,50
579,6,250,66,2,155,99
580,6,251,70,16,155,50
581,6,252,71,32,155,34
582,6,253,74,32,155,34
583,6,254,79,32,155,30
584,6,255,80,16,155,50
585,6,256,81,2,155,99
586,6,257,85,32,155,34
587,6,258,87,4,155,65
588,6,259,90,2,155,99
589,6,260,94,4,155,65
590,6,261,95,4,155,65
591,6,262,99,4,155,65
592,6,263,100,4,155,65
593,6,264,159,32,155,34
594,6,265,52,16,155,38
595,6,266,53,8,155,49
596,6,267,55,4,155,65
597,6,268,56,2,155,99
598,6,269,57,2,155,99
599,6,270,58,1,155,2
600,6,271,59,2,155,99
601,6,272,61,2,155,99
602,6,273,62,2,155,99
603,6,274,65,2,155,99
604,6,275,66,1,155,2
605,6,276,67,1,155,1
606,6,277,70,4,155,59
607,6,278,71,4,155,71
608,6,279,72,1,155,0
609,6,280,73,1,155,3
610,6,281,75,8,155,51
611,6,282,76,16,155,34
612,6,283,85,4,155,71
613,6,284,87,2,155,99
614,6,285,88,2,155,99
615,6,286,90,1,155,3
616,6,287,91,2,155,99
617,6,288,92,2,155,99
618,6,289,95,2,155,99
619,6,290,100,4,155,65
620,6,291,102,16,155,34
621,6,292,109,2,155,99
622,6,293,110,2,155,99
623,6,294,115,4,155,65
624,6,295,118,2,155,99
625,6,296,120,2,155,99
626,6,297,125,2,155,99
627,6,298,130,4,155,59
628,6,299,145,4,155,59
629,6,300,56,32,155,30
630,6,301,57,8,155,38
631,6,302,59,32,155,34
632,6,303,63,32,155,34
633,6,304,66,4,155,65
634,6,305,70,16,155,50
635,6,306,78,32,155,34
636,6,307,81,4,155,65
637,6,308,87,4,155,65
638,6,309,93,8,155,48
639,6,310,95,4,155,65
640,6,311,57,2,155,99
641,6,312,59,16,155,50
642,6,313,62,64,155,24
643,6,314,63,32,155,34
644,6,315,64,16,155,50
645,6,316,65,16,155,50
646,6,317,66,2,155,99
647,6,318,70,16,155,50
648,6,319,71,16,155,50
649,6,320,74,16,155,50
650,6,321,78,16,155,50
651,6,322,79,16,155,50
652,6,323,80,32,155,34
653,6,324,81,2,155,99
654,6,325,85,16,155,50
655,6,326,87,2,155,99
656,6,327,92,2,155,99
657,6,328,93,2,155,99
658,6,329,94,2,155,99
659,6,330,95,2,155,99
660,6,331,99,2,155,99
661,6,332,100,2,155,99
662,6,333,101,2,155,99
663,6,334,104,2,155,99
664,6,335,156,64,155,24
665,6,336,159,16,155,50
666,6,337,163,32,155,30
667,6,338,180,16,155,50
668,6,339,58,4,155,71
669,6,340,59,2,155,99
670,6,341,60,4,155,71
671,6,342,61,8,155,48
672,6,343,62,8,155,48
673,6,344,66,1,155,0
674,6,345,67,1,155,1
675,6,346,68,1,155,4
676,6,347,69,1,155,4
677,6,348,70,2,155,99
678,6,349,71,2,155,99
679,6,350,77,4,155,59
680,6,351,78,2,155,99
681,6,352,81,1,155,3
682,6,353,82,1,155,0
683,6,354,83,1,155,0
684,6,355,84,1,155,0
685,6,356,85,2,155,99
686,6,357,87,1,155,0
687,6,358,93,4,155,65
688,6,359,94,1,155,0
689,6,360,95,1,155,0
690,6,361,96,8,155,48
691,6,362,97,2,155,99
692,6,363,100,2,155,99
693,6,364,108,4,155,59
694,6,365,109,1,155,0
695,6,366,110,1,155,0
696,6,367,112,8,155,51
697,6,368,115,2,155,99
698,6,369,118,1,155,3
699,6,370,120,1,155,0
700,6,371,122,4,155,53
701,6,372,123,2,155,87
702,6,373,125,1,155,0
703,6,374,130,1,155,0
704,6,375,137,4,155,53
705,6,376,65,16,155,50
706,6,377,66,2,155,99
707,6,378,70,32,155,30
708,6,379,71,16,155,50
709,6,380,74,32,155,30
710,6,381,78,32,155,34
711,6,382,81,4,155,59
712,6,383,95,2,155,99
713,6,384,101,4,155,59
714,6,385,160,96,155,15
715,6,386,81,4,155,65
716,6,387,85,32,155,34
717,6,388,86,384,155,10
718,6,389,87,4,155,65
719,6,390,99,8,155,45
720,6,391,100,4,155,65
721,6,392,101,8,155,48
722,6,393,180,64,155,24
723,6,394,66,2,155,99
724,6,395,70,16,155,50
725,6,396,77,96,155,15
726,6,397,81,2,155,99
727,6,398,92,4,155,59
728,6,399,94,2,155,99
729,6,400,100,4,155,59
730,6,401,101,2,155,99
731,6,402,159,32,155,30
732,6,403,180,32,155,30
733,6,404,67,4,155,71
734,6,405,68,4,155,71
735,6,406,69,4,155,71
736,6,407,70,2,155,99
737,6,408,71,2,155,99
738,6,409,72,4,155,71
739,6,410,73,4,155,71
740,6,411,74,2,155,99
741,6,412,81,2,155,87
742,6,413,83,2,155,87
743,6,414,85,2,155,99
744,6,415,87,1,155,2
745,6,416,88,1,155,1
746,6,417,90,1,155,0
747,6,418,91,2,155,87
748,6,419,92,2,155,87
749,6,420,94,1,155,2
750,6,421,95,1,155,0
751,6,422,98,1,155,2
752,6,423,99,1,155,0
753,6,424,100,1,155,0
754,6,425,101,2,155,87
755,6,426,103,1,155,4
756,6,427,104,2,155,87
757,6,428,105,4,155,71
758,6,429,106,4,155,71
759,6,430,107,1,155,4
760,6,431,109,1,155,0
761,6,432,110,1,155,0
762,6,433,111,1,155,0
763,6,434,113,1,155,0
764,6,435,115,1,155,0
765,6,436,116,2,155,87
766,6,437,119,2,155,99
767,6,438,121,1,155,2
768,6,439,122,1,155,0
769,6,440,124,1,155,0
770,6,441,125,1,155,0
771,6,442,127,1,155,0
772,6,443,130,1,155,0
773,6,444,131,2,155,87
774,6,445,134,2,155,87
775,6,446,137,1,155,4
776,6,447,139,1,155,0
777,6,448,140,1,155,0
778,6,449,141,1,155,0
779,6,450,145,1,155,0
780,6,451,146,2,155,99
781,6,452,149,2,155,87
782,6,453,159,2,155,99
783,6,454,180,2,155,99
784,6,455,71,16,155,50
785,6,456,85,16,155,50
786,6,457,87,2,155,99
787,6,458,90,2,155,99
788,6,459,95,2,155,99
789,6,460,100,4,155,59
790,6,461,180,64,155,24
791,6,462,74,64,155,24
792,6,463,85,32,155,34
793,6,464,87,4,155,65
794,6,465,94,4,155,65
795,6,466,95,4,155,65
796,6,467,99,4,155,65
797,6,468,100,4,155,65
798,6,469,159,32,155,34
799,6,470,87,4,155,65
800,6,471,90,2,155,99
801,6,472,94,4,155,65
802,6,473,95,4,155,65
803,6,474,99,4,155,65
804,6,475,100,4,155,65
805,6,476,159,64,155,24
806,6,477,88,4,155,71
807,6,478,90,2,155,87
808,6,479,91,1,155,1
809,6,480,94,4,155,59
810,6,481,95,2,155,99
811,6,482,98,8,155,51
812,6,483,99,2,155,99
813,6,484,100,2,155,99
814,6,485,109,4,155,65
815,6,486,110,2,155,99
816,6,487,114,8,155,48
817,6,488,115,1,155,0
818,6,489,118,1,155,1
819,6,490,120,4,155,71
820,6,491,121,8,155,48
821,6,492,124,2,155,87
822,6,493,125,2,155,87
823,6,494,140,2,155,87
824,6,495,145,2,155,99
825,6,496,147,2,155,99
826,6,497,92,6,155,37
827,6,498,100,2,155,87
828,6,499,110,2,155,87
829,6,500,99,4,155,65
830,6,501,100,2,155,99
831,6,502,110,8,155,48
832,6,503,113,4,155,59
833,6,504,115,1,155,0
834,6,505,118,2,155,87
835,6,506,125,4,155,71
836,6,507,140,4,155,71
837,6,508,173,2,155,99
838,6,509,175,8,155,51
839,6,510,179,8,155,48
840,6,511,115,8,155,48
841,6,512,130,8,155,42
842,6,513,145,8,155,48
843,6,514,182,16,155,38
844,6,515,56,16,155,50
845,6,516,57,4,155,65
846,6,517,66,4,155,65
847,6,518,70,64,155,24
848,6,519,85,64,155,26
849,6,520,95,8,155,48
850,6,521,100,16,155,38
851,6,522,52,32,155,25
852,6,523,53,8,155,49
853,6,524,56,2,155,99
854,6,525,57,1,155,1
855,6,526,58,1,155,0
856,6,527,60,1,155,0
857,6,528,61,1,155,1
858,6,529,65,2,155,99
859,6,530,66,1,155,0
860,6,531,67,1,155,0
861,6,532,70,4,155,65
862,6,533,71,4,155,71
863,6,534,72,1,155,0
864,6,535,73,1,155,0
865,6,536,75,16,155,38
866,6,537,76,8,155,49
867,6,538,85,8,155,51
868,6,539,87,2,155,99
869,6,540,88,4,155,71
870,6,541,94,2,155,99
871,6,542,95,2,155,99
872,6,543,99,2,155,99
873,6,544,100,4,155,65
874,6,545,115,4,155,71
875,6,546,118,4,155,71
876,6,547,120,4,155,71
877,6,548,124,4,155,71
878,6,549,125,4,155,71
879,6,550,130,4,155,71
880,6,551,133,16,155,38
881,6,552,140,4,155,71
882,6,553,141,4,155,71
883,6,554,145,4,155,65
884,6,555,159,8,155,51
885,6,556,57,2,155,99
886,6,557,63,96,155,19
887,6,558,65,32,155,34
888,6,559,66,4,155,71
889,6,560,70,32,155,34
890,6,561,71,32,155,34
891,6,562,74,16,155,50
892,6,563,80,16,155,50
893,6,564,81,2,155,99
894,6,565,87,2,155,99
895,6,566,89,192,155,14
896,6,567,90,4,155,65
897,6,568,93,4,155,65
898,6,569,95,4,155,65
899,6,570,99,4,155,65
900,6,571,104,4,155,65
901,6,572,163,32,155,34
902,6,573,58,4,155,71
903,6,574,60,4,155,71
904,6,575,61,4,155,71
905,6,576,65,2,155,99
906,6,577,66,1,155,0
907,6,578,67,1,155,3
908,6,579,68,1,155,0
909,6,580,69,1,155,0
910,6,581,70,2,155,99
911,6,582,71,2,155,99
912,6,583,74,2,155,99
913,6,584,80,2,155,99
914,6,585,81,1,155,0
915,6,586,82,1,155,0
916,6,587,83,1,155,0
917,6,588,84,1,155,0
918,6,589,85,4,155,65
919,6,590,87,1,155,0
920,6,591,90,2,155,87
921,6,592,91,2,155,99
922,6,593,92,2,155,87
923,6,594,93,2,155,99
924,6,595,94,1,155,0
925,6,596,95,1,155,2
926,6,597,96,4,155,71
927,6,598,97,2,155,87
928,6,599,98,1,155,0
929,6,600,99,1,155,0
930,6,601,100,1,155,3
931,6,602,101,1,155,0
932,6,603,104,1,155,0
933,6,604,107,2,155,99
934,6,605,108,2,155,87
935,6,606,109,1,155,0
936,6,607,110,1,155,0
937,6,608,112,4,155,71
938,6,609,113,1,155,0
939,6,610,114,1,155,0
940,6,611,115,1,155,3
941,6,612,116,1,155,0
942,6,613,118,1,155,0
943,6,614,119,1,155,0
944,6,615,120,1,155,0
945,6,616,122,2,155,87
946,6,617,123,2,155,87
947,6,618,124,1,155,1
948,6,619,125,1,155,0
949,6,620,128,4,155,71
950,6,621,129,2,155,87
951,6,622,130,1,155,0
952,6,623,131,1,155,0
953,6,624,134,1,155,2
954,6,625,137,2,155,87
955,6,626,138,2,155,87
956,6,627,139,1,155,2
957,6,628,140,1,155,0
958,6,629,145,1,155,0
959,6,630,146,1,155,0
960,6,631,147,1,155,0
961,6,632,149,1,155,0
962,6,633,153,2,155,99
963,6,634,159,4,155,65
964,6,635,180,2,155,99
965,6,636,70,16,155,50
966,6,637,71,32,155,30
967,6,638,81,4,155,59
968,6,639,85,32,155,34
969,6,640,95,2,155,99
970,6,641,100,2,155,99
971,6,642,101,4,155,59
972,6,643,180,32,155,30
973,6,644,67,4,155,71
974,6,645,68,4,155,71
975,6,646,69,4,155,71
976,6,647,70,2,155,99
977,6,648,71,2,155,99
978,6,649,72,4,155,71
979,6,650,73,4,155,71
980,6,651,74,2,155,99
981,6,652,81,2,155,99
982,6,653,83,2,155,87
983,6,654,85,4,155,65
984,6,655,87,1,155,1
985,6,656,88,1,155,1
986,6,657,94,1,155,2
987,6,658,95,1,155,0
988,6,659,98,1,155,0
989,6,660,99,1,155,0
990,6,661,100,1,155,0
991,6,662,101,2,155,87
992,6,663,103,2,155,87
993,6,664,104,2,155,87
994,6,665,105,4,155,71
